x_m,y_m
-6.650000000000042988e+00,9.430000000000065441e+00
-6.750000000000044409e+00,9.430000000000065441e+00
-6.850000000000044942e+00,9.430000000000065441e+00
-6.950000000000045475e+00,9.430000000000065441e+00
-7.050000000000046008e+00,9.430000000000065441e+00
-7.200000000000046363e+00,9.430000000000065441e+00
-7.300000000000047784e+00,9.430000000000065441e+00
-7.400000000000048317e+00,9.426470588235359216e+00
-7.500000000000047962e+00,9.427782805429929525e+00
-7.600000000000049383e+00,9.437239819004590302e+00
-7.700000000000050804e+00,9.451221719457079118e+00
-7.800000000000050449e+00,9.466108597285133541e+00
-7.900000000000051870e+00,9.478280542986489365e+00
-8.000000000000053291e+00,9.484117647058887712e+00
-8.100000000000052935e+00,9.480000000000064375e+00
-8.250000000000053291e+00,9.480000000000064375e+00
-8.350000000000054712e+00,9.480000000000064375e+00
-8.500000000000055067e+00,9.480000000000064375e+00
-8.600000000000056488e+00,9.480000000000064375e+00
-8.750000000000056843e+00,9.480000000000064375e+00
-8.850000000000058265e+00,9.480000000000064375e+00
-8.950000000000059686e+00,9.480000000000064375e+00
-9.100000000000060041e+00,9.480000000000064375e+00
-9.250000000000060396e+00,9.480000000000064375e+00
-9.350000000000061817e+00,9.480000000000064375e+00
-9.450000000000063238e+00,9.480000000000064375e+00
-9.600000000000063594e+00,9.480000000000064375e+00
-9.700000000000065015e+00,9.480000000000064375e+00
-9.850000000000065370e+00,9.480000000000064375e+00
-9.950000000000066791e+00,9.475882352941241038e+00
-1.005000000000006644e+01,9.481719457013639385e+00
-1.015000000000006786e+01,9.493891402714996985e+00
-1.025000000000006750e+01,9.508778280543053185e+00
-1.035000000000006892e+01,9.522760180995542001e+00
-1.045000000000006857e+01,9.532217194570202778e+00
-1.055000000000006999e+01,9.533529411764773087e+00
-1.065000000000007141e+01,9.530000000000066862e+00
-1.080000000000007176e+01,9.530000000000066862e+00
-1.090000000000007319e+01,9.530000000000066862e+00
-1.105000000000007176e+01,9.530000000000066862e+00
-1.115000000000007496e+01,9.530000000000066862e+00
-1.130000000000007354e+01,9.530000000000066862e+00
-1.140000000000007674e+01,9.530000000000066862e+00
-1.150000000000007638e+01,9.526470588235360637e+00
-1.160000000000007780e+01,9.527782805429930946e+00
-1.170000000000007745e+01,9.537239819004591723e+00
-1.180000000000007887e+01,9.551221719457080539e+00
-1.190000000000008029e+01,9.566108597285134962e+00
